opening_name,opening_variation,count
Queen's Gambit Declined," Albin Countergambit, Modern Line",3745
Indian Defense," Paleface Attack, Blackmar-Diemer Gambit Deferred",3730
Three Knights Opening, Schlechter Variation,3712
Dutch Defense," Classical Variation, Stonewall Variation",3683
King's Indian Defense, Kramer Variation,3641
English Opening," King's English Variation, Keres Defense",3619
Sicilian Defense," Moscow Variation, Sokolsky Variation",3601
Semi-Slav Defense, Bogoljubov Variation,3597
Ruy Lopez, Marshall Attack,3592
King's Indian Defense," Orthodox Variation, Classical System",3571
King's Indian Defense," Orthodox Variation, Bayonet Attack",3570
Sicilian Defense, Halasz Gambit,3566
Nimzo-Indian Defense, St. Petersburg Variation,3558
King's Indian Defense," Semi-Classical Variation, Benoni Variation",3550
Zukertort Opening, Double Fianchetto Attack,3537
Queen's Gambit Declined," Albin Countergambit, Lasker Trap",3536
Sicilian Defense," Dragon Variation, Yugoslav Attack, Old Line",3531
Grob Opening, Keene Defense,3520
Queen's Gambit Declined, Tartakower Defense,3517
Van Geet Opening, Berlin Gambit,3496
Montevideo Defense,~,3489
System, Double Duck Formation,3484
Dutch Defense," Leningrad Variation, Warsaw Variation",3475
Italian Game," Classical Variation, Greco Gambit, Anderssen Variation",3473
Sicilian Defense," Lasker-Pelikan Variation, Sveshnikov Variation",3467
King's Indian Attack, Double Fianchetto,3458
French Defense," Advance Variation, Lputian Variation",3455
King's Indian Defense, Exchange Variation,3451
King's Indian Defense," Orthodox Variation, Gligoric-Taimanov System",3432
Semi-Slav Defense, Stoltz Variation,3431
Ruy Lopez," Morphy Defense, Jaffe Gambit",3420
Center Game," Lanc-Arnold Gambit, Schippler Gambit",3420
Queen's Gambit Declined, Alapin Variation,3393
English Opening," Symmetrical Variation, Botvinnik System Reversed",3362
Nimzo-Larsen Attack, Polish Variation,3327
Russian Game, Karklins-Martinovsky Variation,3326
King's Gambit Accepted," Bishop's Gambit, Cozio Defense",3321
Pirc Defense," Austrian Attack, Kurajica Variation",3318
King's Gambit Declined," Falkbeer Countergambit, Hinrichsen Gambit",3317
King's Gambit Accepted," Muzio Gambit, Wild Muzio Gambit",3315
French Defense," Tarrasch Variation, Open System, Main Line",3309
Grünfeld Defense, Brinckmann Attack,3291
Semi-Slav Defense, Accelerated Meran Variation,3285
King's Indian Defense," Petrosian Variation, Stein Defense",3274
Ruy Lopez," Exchange Variation, Alapin Gambit",3259
Sicilian Defense," Smith-Morra Gambit Accepted, Classical Formation",3249
Ruy Lopez," Morphy Defense, Arkhangelsk Variation",3245
Catalan Opening," Open Defense, Classical Line",3241
Queen's Gambit Declined," Orthodox Defense, Main Line",3231
English Opening," Agincourt Defense, Wimpy System",3226
Italian Game," Two Knights Defense, Traxler Counterattack, King March Line",3218
Old Indian Defense," Janowski Variation, Fianchetto Variation",3198
Indian Defense," Budapest Defense, Alekhine Variation",3188
Queen's Indian Defense, Fianchetto Traditional,3176
French Defense," Tarrasch Variation, Morozevich Variation",3174
Mikenas Defense, Cannstatter Variation,3171
Queen's Gambit Declined, Capablanca Variation,3165
English Opening," King's English Variation, Troger Defense",3150
Modern Defense, Wind Gambit,3140
Réti Opening," Anglo-Slav Variation, Bogoljubov Variation",3136
Vienna Game," Vienna Gambit, Pierce Gambit",3122
French Defense," Winawer Variation, Bogoljubov Variation",3116
King's Gambit Accepted, Traditional Variation,3115
Sicilian Defense," Najdorf Variation, English Attack, Anti-English",3105
Italian Game," Classical Variation, Greco Gambit, Moeller-Therkatz Attack",3101
Vienna Game," Vienna Gambit, Steinitz Gambit",3099
Semi-Slav Defense, Meran Variation,3095
Ruy Lopez," Morphy Defense, Wormald Attack",3093
Ruy Lopez," Morphy Defense, Mackenzie Variation",3091
French Defense," Winawer Variation, Alekhine-Maróczy Gambit",3090
French Defense, Alekhine-Chatard Attack,3088
Slav Defense, Alapin Variation,3088
Nimzowitsch Defense," Scandinavian Variation, Bogoljubov Variation, Nimzowitsch Gambit",3085
Ponziani Opening, Romanishin Variation,3081
Italian Game," Evans Gambit, McDonnell Defense, Main Line",3078
King's Indian Defense," Sämisch Variation, Bobotsov-Korchnoi-Petrosian Variation",3068
Bishop's Opening," Berlin Defense, Greco Gambit",3064
Australian Defense,~,3047
Nimzo-Indian Defense, Hübner Variation,3047
Alekhine Defense, The Squirrel,3043
Benoni Defense," Classical Variation, New York Variation",3039
Bishop's Opening," Urusov Gambit, Keidansky Gambit",3035
Scotch Game, Blumenfeld Attack,3032
Ruy Lopez," Closed, Anti-Marshall",3030
King's Gambit Declined," Classical, Soldatenkov Variation",3028
King's Indian Defense," Sämisch Variation, Orthodox Variation",3025
Nimzo-Indian Defense, Romanishin Variation,3025
Tarrasch Defense, Classical Variation,2996
Queen's Gambit Declined, Lasker Defense,2994
King's Indian Defense," Fianchetto Variation, Karlsbad Variation",2992
King's Gambit Accepted," Muzio Gambit, Sarratt Defense",2971
King's Gambit Accepted," Kieseritzky Gambit, Long Whip",2969
Sicilian Defense," Dragon Variation, Yugoslav Attack, Panov Variation",2935
Bishop's Opening," Calabrese Countergambit, Jaenisch Variation",2916
Grob Opening, Double Grob,2903
Ruy Lopez," Marshall Attack, Modern Main Line",2903
Italian Game," Evans Gambit, Anderssen Defense",2901
Van Geet Opening, Reversed Scandinavian,2899
French Defense," Winawer Variation, Maróczy-Wallis Variation",2866
Sicilian Defense," O'Kelly Variation, Quiet System",2860
Réti Opening, Reversed Blumenfeld Gambit,2855
Russian Game," Modern Attack, Center Attack",2853
Sicilian Defense," O'Kelly Variation, Normal System, Zagorovsky Line",2841
Sicilian Defense, Boleslavsky Variation,2839
Hungarian Opening, Myers Defense,2826
King's Gambit Accepted, Salvio Gambit,2824
Sicilian Defense," Sozin Attack, Flank Variation",2815
King's Gambit Accepted," Cunningham Defense, McCormick Defense",2808
Russian Game, Millennium Attack,2808
Scotch Game, Vitzthum Attack,2807
Queen's Pawn Game," Veresov Attack, Veresov Variation",2806
Blackmar-Diemer Gambit, Tartakower Variation,2806
Benoni Defense," Modern Variation, Snake Variation",2800
Bishop's Opening, Stein Gambit,2800
King's Indian Defense," Fianchetto Variation, Yugoslav System",2791
Ruy Lopez," Closed, Averbakh Variation",2791
Bogo-Indian Defense, Wade-Smyslov Variation,2772
Bird Opening, Wagner-Zwitersch Gambit,2762
Scotch Game, Paulsen Attack,2760
Scandinavian Defense," Anderssen Counterattack, Goteborg System",2754
Italian Game," Evans Gambit, Stone-Ware Variation",2753
Caro-Kann Defense," Classical Variation, Maróczy Attack",2739
King's Gambit Accepted," Kieseritzky Gambit, Kolisch Defense",2734
French Defense," Alekhine-Chatard Attack, Albin-Chatard Gambit",2729
Russian Game," Cochrane Gambit, Center Variation",2724
Slav Defense, Breyer Variation,2723
French Defense," Advance Variation, Nimzowitsch Gambit",2722
Queen's Gambit Declined," Cambridge Springs Defense, Capablanca Variation",2716
Latvian Gambit, Fraser Defense,2713
Italian Game," Evans Gambit, Compromised Defense",2709
Benko Gambit Declined, Main Line,2702
French Defense," Tarrasch Variation, Guimard Defense, Main Line",2699
Four Knights Game," Scotch Variation, Schmid Defense",2696
French Defense," Winawer Variation, Classical Variation",2693
Van Geet Opening, Novosibirsk Variation,2681
Queen's Indian Defense, Classical Variation,2674
English Opening," King's English Variation, Taimanov Variation",2672
Caro-Kann Defense," Panov Attack, Modern Defense, Carlsbad Line",2647
Latvian Gambit, Clam Gambit,2642
Sicilian Defense," Najdorf Variation, Freak Attack",2639
Queen's Gambit Accepted," Central Variation, McDonnell Defense, Somov Gambit",2636
Sicilian Defense," Lasker-Pelikan Variation, Sveshnikov Variation, Novosibirsk Variation",2635
Dutch Defense," Leningrad Variation, Matulovic Variation",2635
Pirc Defense, Sveshnikov System,2633
Benoni Defense, Cormorant Gambit,2625
Zukertort Opening, Santasiere's Folly,2609
Pirc Defense, Bayonet Attack,2604
Nimzowitsch Defense, Pirc Connection,2603
Alekhine Defense," Hunt Variation, Lasker Simul Gambit",2598
Neo-Grünfeld Defense, Delayed Exchange Variation,2593
Ruy Lopez," Closed, Closed Defense",2588
Nimzo-Indian Defense," Normal Variation, Bishop Attack, Classical Defense",2546
Russian Game," Classical Attack, Staunton Variation",2545
Sicilian Defense," Dragon Variation, Yugoslav Attack, Early Deviations",2543
Pirc Defense," Classical Variation, Quiet System, Chigorin Line",2537
English Opening," Anglo-Indian Defense, Nimzo-English",2531
Queen's Gambit Declined," Harrwitz Attack, Two Knights Defense",2529
King's Indian Defense," Fianchetto Variation, Yugoslav Variation, Advance Line",2525
Tarrasch Defense, Prague Variation,2514
Queen's Gambit Declined," Semi-Tarrasch Defense, Exchange Variation",2483
Pterodactyl Defense," Eastern, Rhamphorhynchus",2478
Queen's Indian Defense, Capablanca Variation,2477
Sicilian Defense," Najdorf Variation, Traditional Line",2475
Ruy Lopez," Closed, Pilnik Variation",2474
Queen's Gambit Declined, Anti-Tartakower Variation,2466
Benoni Defense, Fianchetto Variation,2464
English Opening," Anglo-Indian Defense, Anti-Anti-Grünfeld",2458
Catalan Opening," Closed, Main Line",2456
King's Pawn Game," Macleod Attack, Lasa Gambit",2452
Benko Gambit Accepted, King Walk Variation,2439
Benoni Defense, Weenink Variation,2433
Döry Defense,~,2428
Sicilian Defense," Pin Variation, Koch Variation",2426
Ruy Lopez, Rotary-Albany Gambit,2419
Philidor Defense," Hanham Variation, Schlechter Variation",2413
French Defense," Classical Variation, Burn Variation, Morozevich Line",2403
Bird Opening, Hobbs Gambit,2399
Sicilian Defense," Scheveningen Variation, Vitolins Variation",2393
Ruy Lopez," Cozio Defense, Paulsen Variation",2392
Dutch Defense, Blackmar's Second Gambit,2389
Nimzowitsch Defense, El Columpio Defense,2389
Alekhine Defense, Modern Variation,2388
Benoni Defense," Classical Variation, Averbakh-Grivas Attack",2378
Dutch Defense, Leningrad Variation,2369
Slav Defense, Soultanbeieff Variation,2367
Nimzo-Indian Defense," Normal Variation, Sämisch Deferred",2364
Scotch Game, Alekhine Gambit,2363
Russian Game," Classical Attack, Closed Variation",2345
Queen's Gambit Declined," Baltic Defense, Queen Attack",2344
Nimzo-Indian Defense," Normal Variation, Bishop Attack",2344
Queen's Gambit Declined," Albin Countergambit, Fianchetto Variation, Bg4 Line",2338
Sicilian Defense, Polish Gambit,2333
Nimzo-Indian Defense, Reshevsky Variation,2329
Slav Defense," Czech Variation, Dutch Variation",2329
Sicilian Defense," Smith-Morra Gambit Declined, Dubois Variation",2324
Van Geet Opening, Laroche Gambit,2324
Queen's Gambit Declined," Albin Countergambit, Fianchetto Variation",2321
Latvian Gambit, Mayet Attack,2321
Italian Game," Classical Variation, Closed Variation",2320
Sicilian Defense," O'Kelly Variation, Maróczy Bind",2319
King's Indian Defense, Petrosian Variation,2317
Blackmar-Diemer Gambit," Lemberger Countergambit, Endgame Variation",2313
Queen's Gambit Declined," Baltic Defense, Queen Attack Deferred",2311
Sicilian Defense," Scheveningen Variation, Modern Variation",2306
Latvian Gambit Accepted, Main Line,2293
Pterodactyl Defense," Sicilian, Rhamphorhynchus",2276
Old Indian Defense, Janowski Variation,2263
English Opening," Symmetrical Variation, Three Knights Variation",2248
Van Geet Opening, Battambang Variation,2246
Sicilian Defense," Alapin Variation, Stoltz Attack",2243
French Defense," Classical Variation, Tartakower Variation",2231
King's Gambit Accepted," Bishop's Gambit, Greco Variation",2231
Blackmar-Diemer Gambit," Lemberger Countergambit, Simple Variation",2227
Sicilian Defense," Modern Variations, Anti-Qxd4 Move Order Accepted",2227
Pirc Defense," Classical Variation, Quiet System, Czech Defense",2226
Queen's Gambit Declined," Orthodox Defense, Bd3 Line",2224
Indian Defense, Pseudo-Benko,2216
Ruy Lopez," Schliemann Defense, Schönemann Attack",2216
Russian Game, Cochrane Gambit,2211
King's Indian Defense," Fianchetto Variation, Classical Main Line",2207
Pirc Defense," Classical Variation, Quiet System, Parma Defense",2207
Latvian Gambit Accepted, Bilguer Variation,2203
Modern Defense, Beefeater Variation,2194
French Defense," Advance Variation, Ruisdonk Gambit",2193
Benko Gambit Accepted, Fianchetto Variation,2193
King's Gambit Accepted," Bishop's Gambit, Bogoljubov Variation",2180
Ruy Lopez," Closed, Bogoljubov Variation",2179
Queen's Pawn Game," Levitsky Attack, Welling Variation",2177
Benoni Defense," Old Benoni, Schmid Variation",2175
Van Geet Opening, Dougherty Gambit,2174
Ponziani Opening, Spanish Variation,2167
Four Knights Game," Rubinstein Countergambit, Henneberger Variation",2154
Catalan Opening," Closed Variation, Traditional Variation",2154
Caro-Kann Defense, De Bruycker Defense,2146
Benko Gambit Accepted, Yugoslav,2143
Benoni Defense, Four Pawns Attack,2136
Sicilian Defense," Wing Gambit, Abrahams Variation",2135
French Defense," MacCutcheon Variation, Lasker Variation",2126
Nimzowitsch Defense, Woodchuck Variation,2114
King's Indian Defense," Orthodox Variation, Glek Defense",2113
Dutch Defense, Semi-Leningrad Variation,2113
King's Indian Defense," Fianchetto Variation, Kavalek Defense",2107
King's Gambit Declined," Falkbeer Countergambit, Charousek Gambit Accepted",2099
Bogo-Indian Defense, Retreat Variation,2098
Blackmar-Diemer Gambit Declined, Langeheinecke Defense,2098
Sicilian Defense," Scheveningen Variation, Keres Attack",2094
English Opening," Agincourt Defense, Kurajica Defense",2090
King's Indian Defense," Four Pawns Attack, Normal Attack",2089
Blackmar-Diemer Gambit, Bogoljubov Variation,2086
King's Gambit Accepted, Allgaier Gambit,2082
Italian Game," Two Knights Defense, Blackburne Variation",2081
King's Gambit Accepted, Lolli Gambit,2079
Queen's Pawn Game," Veresov Attack, Two Knights System",2075
King's Gambit Accepted, Sörensen Gambit,2063
Sicilian Defense," Richter-Rauzer Variation, Classical Variation",2062
Trompowsky Attack, Borg Variation,2052
Van Geet Opening, Nowokunski Gambit,2051
Queen's Gambit Accepted, Mannheim Variation,2050
Grünfeld Defense," Three Knights Variation, Burille Variation, Reversed Tarrasch",2039
Ruy Lopez," Berlin Defense, Closed Wolf Variation",2037
Nimzowitsch Defense," Scandinavian Variation, Bogoljubov Variation, Heinola-Deppe Gambit",2034
Sicilian Defense," O'Kelly Variation, Normal System, Smith-Morra Line",2030
Slav Defense, Steiner Variation,2017
Ruy Lopez," Closed, Yates Variation",2017
Ruy Lopez," Closed, Chigorin Defense",2017
Italian Game," Evans Gambit, Mieses Defense",2009
Caro-Kann Defense," Classical Variation, Lobron System",2007
Pirc Defense," Austrian Attack, Ljubojevic Variation",1999
Sicilian Defense," Accelerated Dragon, Maróczy Bind, Breyer Variation",1992
Benoni Defense," Old Benoni, Mujannah Formation",1990
Sicilian Defense," Smith-Morra Gambit Accepted, Morphy Defense",1985
King's Pawn Game," Tayler Opening, Inverted Hanham",1985
French Defense," Tarrasch Variation, Modern System",1977
Queen's Gambit Accepted, Classical Defense,1971
French Defense," Alekhine-Chatard Attack, Maróczy Variation",1960
Sicilian Defense, Kronberger Variation,1957
Van Geet Opening, Billockus-Johansen Gambit,1957
Queen's Gambit Declined, Pseudo-Tarrasch Variation,1955
Alekhine Defense, Steiner Variation,1947
English Opening," King's English Variation, Four Knights Variation, Korchnoi Line",1944
French Defense," Winawer Variation, Positional Variation",1927
Dutch Defense, Korchnoi Attack,1924
Sicilian Defense, Brussels Gambit,1924
Pterodactyl Defense," Eastern, Pterodactyl",1920
Sicilian Defense," Najdorf Variation, Opocensky Variation, Modern Line",1920
Vienna Game," Vienna Gambit, Cunningham Defense",1919
King's Gambit Accepted, Gianutio Countergambit,1917
Sicilian Defense," Accelerated Dragon, Maróczy Bind, Gurgenidze Variation",1910
Blackmar-Diemer Gambit Declined, Elbert Countergambit,1900
Queen's Pawn Game, Zurich Gambit,1896
King's Pawn Opening, Speers,1892
King's Gambit Accepted, Quade Gambit,1885
Dutch Defense, Krejcik Gambit,1885
Bird Opening, Lasker Gambit,1875
Queen's Indian Defense," Fianchetto Variation, Nimzowitsch Variation",1875
Sicilian Defense," Richter-Rauzer Variation, Dragon Variation",1875
Queen's Indian Defense," Kasparov-Petrosian Variation, Marco Defense",1873
Sicilian Defense, Mongoose Variation,1867
"Blackmar-Diemer, Lemberger Countergambit",~,1862
Center Game, Lanc-Arnold Gambit,1861
Caro-Kann Defense," Classical Variation, Flohr Variation",1852
Benoni Defense, Taimanov Variation,1850
Van Geet Opening," Grünfeld Defense, Steiner Gambit",1842
King's Indian Defense," Fianchetto Variation, Yugoslav Variation, Exchange Line",1841
Benoni Defense," Benoni Gambit, Schlenker Defense",1841
Bird Opening," Dutch Variation, Dudweiler Gambit",1841
Philidor Defense, Philidor Gambit,1838
Benoni Defense," Four Pawns Attack, Main Line",1837
Sicilian Defense," Richter-Rauzer Variation, Neo-Modern Variation",1835
Slav Defense, Czech Variation,1833
Ruy Lopez," Berlin Defense, Berlin Wall",1829
King's Indian Defense," Averbakh Variation, Flexible Defense",1828
Queen's Gambit Accepted, Alekhine Defense,1825
Philidor Defense, Albin-Blackburne Gambit,1823
Ruy Lopez," Closed, Flohr System",1816
Ruy Lopez," Marshall Attack, Modern Variation",1812
English Opening," Agincourt Defense, Catalan Defense",1808
Italian Game," Giuoco Pianissimo, Dubois Variation",1803
Caro-Kann Defense, Mieses Gambit,1800
Alekhine Defense, Hunt Variation,1799
Italian Game," Evans Gambit, Anderssen Variation, Cordel Line",1783
King's Gambit Accepted," Bishop's Gambit, Anderssen Defense",1778
Queen's Gambit Declined," Pseudo-Tarrasch Variation, Primitive Pillsbury Variation",1772
Italian Game," Two Knights Defense, Colman Variation",1762
Italian Game," Scotch Gambit, Nakhmanson Gambit",1755
Slav Defense," Czech Variation, Classical System",1754
Italian Game," Evans Gambit, Slow Variation",1754
English Opening," Anglo-Indian Defense, Flohr-Mikenas-Carls Variation, Nei Gambit",1752
Ruy Lopez," Berlin Defense, Anderssen Variation",1750
Nimzowitsch Defense," Kennedy Variation, Bielefelder Gambit",1747
English Opening, Myers Variation,1744
English Opening," Symmetrical Variation, Hedgehog Defense",1740
English Opening," King's English Variation, Two Knights Variation, Fianchetto Line",1737
Caro-Kann Defense, Toikkanen Gambit,1731
Four Knights Game," Scotch Variation, Oxford Gambit",1723
Semi-Slav Defense," Marshall Gambit, Main Line",1723
French Defense," MacCutcheon Variation, Chigorin Variation",1721
Queen's Pawn Game," Torre Attack, Grünfeld Variation, Main Line",1719
Lion Defense, Anti-Philidor,1718
Latvian Gambit," Mayet Attack, Polerio-Svedenborg Variation",1716
Alekhine Defense," Modern Variation, Alekhine Gambit",1712
King's Gambit Accepted," Fischer Defense, Spanish Variation",1706
King's Indian Defense," Fianchetto Variation, Lesser Simagin (Spassky)",1704
Sicilian Defense," Dragon Variation, Classical Variation, Amsterdam Variation",1702
Queen's Gambit Declined, Neo-Orthodox Variation,1697
Ruy Lopez," Morphy Defense, Cozio Defense",1695
King's Indian Defense," Normal Variation, Deferred Fianchetto",1692
Four Knights Game," Spanish Variation, Symmetrical Variation",1690
Caro-Kann Defense," Panov Attack, Fianchetto Defense, Fianchetto Gambit",1689
Nimzo-Indian Defense," Normal Variation, Hübner Deferred",1688
Ruy Lopez," Berlin Defense, Fishing Pole Variation",1682
Sicilian Defense," Dragon Variation, Classical Variation, Battery Variation",1678
King's Indian Defense," Fianchetto Variation, Larsen Defense",1671
French Defense," Tarrasch Variation, Haberditz Variation",1668
King's Indian Defense," Fianchetto Variation, Yugoslav Variation, Rare Line",1664
Slav Defense," Chameleon Variation, Advance System",1660
Semi-Slav Defense," Noteboom Variation, Anti-Noteboom Variation",1658
Caro-Kann Defense," Classical Variation, Seirawan Variation",1648
King's Pawn Game," Clam Variation, Radisch Gambit",1645
Caro-Kann Defense, Gurgenidze Counterattack,1643
Ruy Lopez," Schliemann Defense, Tartakower Variation",1641
Sicilian Defense," Najdorf Variation, Poisoned Pawn Variation",1641
Sicilian Defense," O'Kelly Variation, Réti System",1637
Sicilian Defense," Dragon Variation, Classical Variation, Grigoriev Variation",1626
Sicilian Defense, Kupreichik Variation,1622
Bogo-Indian Defense, Vitolins Variation,1616
English Opening, Achilles-Omega Gambit,1616
Nimzo-Indian Defense, Normal Variation,1611
Russian Game," Classical Attack, Mason Variation",1607
Italian Game," Two Knights Defense, Max Lange Attack, Krause Variation",1600
Polish Opening," King's Indian Variation, Schiffler Attack",1596
Italian Game," Giuoco Piano, Aitken Variation",1593
French Defense, Henneberger Variation,1591
French Defense," Winawer Variation, Poisoned Pawn Variation, Main Line",1588
Ruy Lopez," Morphy Defense, Bayreuth Variation",1581
Vienna Game," Vienna Gambit, Steinitz Variation",1580
Van Geet Opening, Hector Gambit,1574
Alekhine Defense," Scandinavian Variation, Myers Gambit",1571
Ruy Lopez," Steinitz Defense, Nimzowitsch Attack",1565
Queen's Gambit Declined," Orthodox Defense, Rubinstein Variation",1561
Queen's Gambit Accepted," Classical Defense, Main Line",1561
Ware Opening, Meadow Hay Trap,1557
French Defense," Winawer Variation, Retreat Variation",1555
Sicilian Defense," Classical Variation, Anti-Sozin Variation",1555
Sicilian Defense," Najdorf Variation, Opocensky Variation, Traditional Line",1553
Grünfeld Defense, Lutikov Variation,1552
Sicilian Defense," Sozin Attack, Main Line",1543
Bird Opening, Williams-Zilbermints Gambit,1541
King's Indian Attack, Spassky Variation,1536
Sicilian Defense," Closed, Botvinnik Defense",1536
Queen's Indian Defense," Kasparov-Petrosian Variation, Main Line",1529
Bronstein Gambit,~,1516
Queen's Pawn Game," Barry Attack, Grünfeld Variation",1515
Queen's Indian Defense, Petrosian Variation,1513
King's Indian Defense," Averbakh Variation, Geller Defense",1502
Sicilian Defense," Richter-Rauzer Variation, Modern Variation",1496
Dutch Defense, Alapin Variation,1493
Grünfeld Defense, Russian Variation,1492
Sicilian Defense," O'Kelly Variation, Venice System, Ljubojevic Line",1492
Philidor Defense, Boden Variation,1490
Polish Opening, Myers Variation,1490
Queen's Gambit Declined," Tartakower Defense, Makogonov Exchange Variation",1490
Nimzo-Indian Defense," Normal Variation, Gligoric System",1486
Ruy Lopez," Morphy Defense, Breyer Defense, Zaitsev Hybrid",1486
English Opening," Symmetrical Variation, Rubinstein Variation",1484
Semi-Slav Defense, Romih Variation,1483
Italian Game," Evans Gambit, Tartakower Attack",1483
Polish Opening, Queen's Indian Variation,1481
Sicilian Defense," Scheveningen Variation, Matanovic Attack",1476
Dutch Defense, Janzen-Korchnoi Gambit,1472
Caro-Kann Defense," Karpov Variation, Modern Variation",1471
Grünfeld Defense," Brinckmann Attack, Grünfeld Gambit",1465
Modern Defense, Randspringer Variation,1462
Queen's Gambit Accepted, Winawer Defense,1459
Modern Defense, Westermann Gambit,1453
Blackmar-Diemer Gambit Declined, Brombacher Countergambit,1451
Philidor Defense," Lion Variation, Lion's Claw",1450
Bishop's Opening, Kitchener Folly,1448
Pirc Defense, 150 Attack,1447
Ruy Lopez," Berlin Defense, l'Hermet Variation",1446
Queen's Gambit Accepted, Bogoljubov Defense,1444
Italian Game," Classical Variation, Alexandre Gambit",1441
Semi-Slav Defense," Meran Variation, Wade Variation",1439
King's Gambit Accepted, Ghulam-Kassim Gambit,1434
Grünfeld Defense, Smyslov Defense,1433
Queen's Gambit Declined, Alekhine Variation,1428
Sicilian Defense," Dragon Variation, Fianchetto Variation",1421
French Defense," Alekhine-Chatard Attack, Breyer Variation",1415
Vienna Game," Vienna Gambit, Modern Variation",1403
Indian Defense, Polish Variation,1400
Latvian Gambit, Greco Variation,1395
Caro-Kann Defense, Labahn Attack,1386
Sicilian Defense," Kan Variation, Polugaevsky Variation",1384
Sicilian Defense, Grob Variation,1383
Nimzo-Larsen Attack, Pachman Gambit,1383
Polish Opening," King's Indian Variation, Sokolsky Attack",1383
Sicilian Defense," O'Kelly Variation, Aronin System",1381
King's Indian Defense, Kazakh Variation,1379
Indian Defense," Anti-Grünfeld, Alekhine Variation",1378
Four Knights Game," Scotch Variation, Krause Gambit",1378
King's Indian Defense," Sämisch Variation, Double Fianchetto",1376
Sicilian Defense, Big Clamp Formation,1367
Sicilian Defense," Four Knights Variation, Cobra Variation",1364
Bird Opening," From's Gambit, Bahr Gambit",1363
Dutch Defense," Classical Variation, Huisl Variation",1363
French Defense," Classical Variation, Pollock Variation",1363
Caro-Kann Defense," Euwe Attack, Prins Gambit",1361
King's Indian Defense, Averbakh Variation,1359
King's Indian Defense," Fianchetto Variation, Immediate Fianchetto",1343
English Orangutan,~,1343
Queen's Gambit Accepted, Smyslov Variation,1339
Sicilian Defense," Grand Prix Attack, Schofman Variation",1339
Sicilian Defense," Smith-Morra Gambit Accepted, Chicago Defense",1338
Benoni Defense, King's Indian System,1336
French Defense," Steinitz Variation, Gledhill Attack",1334
Nimzowitsch Defense, Neo-Mongoloid Defense,1332
Grob Opening, London Defense,1331
French Defense," Rubinstein Variation, Kasparov Attack",1326
Bird Opening, Myers Defense,1322
Vienna Game, Giraffe Attack,1321
Russian Game," Classical Attack, Mason-Showalter Variation",1320
Sicilian Defense," Taimanov Variation, American Attack",1318
Ponziani Opening, Vukovic Gambit,1311
Nimzowitsch Defense," Kennedy Variation, Hammer Gambit",1309
Ruy Lopez," Morphy Defense, Schliemann Defense Deferred",1308
Blackmar-Diemer Gambit," Zeller Defense, Soller Attack",1297
Sicilian Defense," O'Kelly Variation, Maróczy Bind, Robatsch Line",1293
Kádas Opening, Beginner's Trap,1287
Caro-Kann Defense, Hector Gambit,1283
Italian Game," Two Knights Defense, Kloss Gambit",1282
Réti Opening," Réti Gambit, Keres Variation",1277
Polish Opening, Zukertort System,1277
Queen's Gambit Accepted," Classical Defense, Rubinstein Variation",1272
King's Pawn Game, Weber Gambit,1271
Ruy Lopez, Pollock Defense,1269
Queen's Gambit Accepted," Classical Defense, Steinitz Variation, Exchange Variation",1264
Old Indian Defense," Janowski Variation, Main Line",1263
Queen's Gambit Declined, Manhattan Variation,1261
Queen's Pawn Game, Chandler Gambit,1260
King's Gambit Declined," Falkbeer Countergambit, Rubinstein Variation",1259
King's Gambit Accepted," Bishop's Gambit, First Jaenisch Variation",1258
Réti Opening," Anglo-Slav Variation, New York System",1257
Modern Defense," Averbakh Variation, Pseudo-Sämisch",1254
Queen's Indian Defense," Fianchetto Variation, Sämisch Variation",1252
Nimzo-Indian Defense," Three Knights Variation, Korchnoi Variation",1250
Ruy Lopez," Closed, Delayed Exchange",1248
Queen's Indian Defense, Kasparov-Petrosian Variation,1245
Queen's Gambit Declined," Austrian Defense, Gusev Countergambit",1239
Modern Defense, Neo-Modern Defense,1237
Italian Game," Evans Gambit, Bronstein Defense",1232
Grob Opening, Alessi Gambit,1230
English Opening," King's English Variation, Four Knights Variation, Bradley Beach Variation",1219
Alekhine Defense, Spielmann Gambit,1219
Ruy Lopez," Closed, Morphy Attack",1212
Sicilian Defense, Amazon Attack,1209
Ruy Lopez," Exchange Variation, Romanovsky Variation",1202
English Opening, Neo-Catalan Declined,1202
French Defense, Baeuerle Gambit,1201
Ruy Lopez," Berlin Defense, Kaufmann Variation",1197
Zukertort Opening, The Potato,1196
Indian Defense," Budapest Defense, Alekhine Variation, Abonyi Variation",1193
French Defense," Winawer Variation, Petrosian Variation",1190
French Defense, Franco-Hiva Gambit Accepted,1187
King's Indian Defense," Averbakh Variation, Benoni Defense, Advance Variation",1184
Alekhine Defense," Modern Variation, Panov Variation",1181
Ruy Lopez, Noah's Ark Trap,1180
Indian Defense," Gedult Attack, Gedult Attack",1168
Sicilian Defense, King David's Opening,1167
Ruy Lopez," Berlin Defense, Mortimer Variation",1166
Nimzo-Indian Defense," Hübner Variation, Rubinstein Variation",1166
Italian Game," Hungarian Defense, Tartakower Variation",1164
French Defense," Winawer Variation, Alekhine Gambit Accepted",1163
Ruy Lopez," Exchange, Alekhine Variation",1162
King's Indian Defense," Orthodox Variation, Classical System, Neo-Classical Line",1161
Zukertort Opening, Lisitsyn Gambit Deferred,1160
